class,rank,type,gene_index,score
1,1,top,2342,0.5562717318534851
1,2,top,14329,0.5527039766311646
1,3,top,2343,0.4849208891391754
1,4,top,6294,0.43907302618026733
1,5,top,6290,0.4280845820903778
1,6,top,8759,0.4043982923030853
1,7,top,6291,0.3426262438297272
1,8,top,6296,0.32577428221702576
1,9,top,6289,0.3204863369464874
1,10,top,6288,0.31156355142593384
1,11,top,6295,0.27863791584968567
1,12,top,6292,0.2672019898891449
1,13,top,7975,0.25859466195106506
1,14,top,2341,0.2504745125770569
1,15,top,6281,0.2426719069480896
1,1,bottom,6769,-0.15252918004989624
1,2,bottom,12181,-0.14705120027065277
1,3,bottom,2344,-0.14151322841644287
1,4,bottom,12205,-0.07744892686605453
1,5,bottom,12394,-0.07730565965175629
1,6,bottom,6162,-0.07645243406295776
1,7,bottom,12194,-0.07613313943147659
1,8,bottom,12243,-0.0758775919675827
1,9,bottom,6615,-0.07312441617250443
1,10,bottom,12265,-0.0672709047794342
1,11,bottom,4433,-0.06720534712076187
1,12,bottom,6576,-0.06502542644739151
1,13,bottom,7962,-0.06390051543712616
1,14,bottom,7048,-0.06341847032308578
1,15,bottom,6025,-0.06261809915304184
8,1,top,9358,1.202171802520752
8,2,top,2213,0.9771038889884949
8,3,top,5745,0.8621690273284912
8,4,top,2352,0.6920267343521118
8,5,top,6769,0.6360424160957336
8,6,top,6093,0.6192864775657654
8,7,top,2344,0.4870142638683319
8,8,top,2351,0.4377121925354004
8,9,top,3397,0.3772026002407074
8,10,top,6090,0.36976733803749084
8,11,top,3313,0.3662630021572113
8,12,top,6094,0.3035532534122467
8,13,top,8005,0.29930803179740906
8,14,top,14884,0.268941193819046
8,15,top,7975,0.26179057359695435
8,1,bottom,12239,-0.13832934200763702
8,2,bottom,1530,-0.11909125000238419
8,3,bottom,12242,-0.11834289133548737
8,4,bottom,12386,-0.11751501262187958
8,5,bottom,6592,-0.10973292589187622
8,6,bottom,4247,-0.10035005956888199
8,7,bottom,2851,-0.09836917370557785
8,8,bottom,12178,-0.0982450470328331
8,9,bottom,12214,-0.09346625953912735
8,10,bottom,2341,-0.09329768270254135
8,11,bottom,12184,-0.0890619307756424
8,12,bottom,6294,-0.08755966275930405
8,13,bottom,12177,-0.08437594771385193
8,14,bottom,12246,-0.0827380046248436
8,15,bottom,12210,-0.07932960242033005
4,1,top,6769,0.7226923108100891
4,2,top,12394,0.28712084889411926
4,3,top,7681,0.2856568992137909
4,4,top,2328,0.2711794674396515
4,5,top,690,0.2572779059410095
4,6,top,14543,0.23947632312774658
4,7,top,7737,0.21473568677902222
4,8,top,7340,0.21073824167251587
4,9,top,12386,0.19824926555156708
4,10,top,4141,0.19812385737895966
4,11,top,14918,0.19776007533073425
4,12,top,6295,0.19388052821159363
4,13,top,6294,0.1695130616426468
4,14,top,14921,0.16391398012638092
4,15,top,3102,0.1571129411458969
4,1,bottom,4318,-0.17426139116287231
4,2,bottom,12198,-0.1412164270877838
4,3,bottom,6281,-0.1270439624786377
4,4,bottom,12242,-0.12694841623306274
4,5,bottom,6162,-0.12056219577789307
4,6,bottom,184,-0.12014488130807877
4,7,bottom,12280,-0.11265450716018677
4,8,bottom,15062,-0.10466820746660233
4,9,bottom,12173,-0.10250010341405869
4,10,bottom,4247,-0.0950692817568779
4,11,bottom,12257,-0.09273561835289001
4,12,bottom,12263,-0.09270613640546799
4,13,bottom,12246,-0.09056572616100311
4,14,bottom,4254,-0.08963831514120102
4,15,bottom,12200,-0.08764156699180603
7,1,top,6091,1.8684041500091553
7,2,top,15464,1.5689700841903687
7,3,top,5745,1.472894310951233
7,4,top,5092,1.3790810108184814
7,5,top,5017,1.361459732055664
7,6,top,6092,1.0929234027862549
7,7,top,9358,0.9933907985687256
7,8,top,11104,0.9087374806404114
7,9,top,3313,0.8974791169166565
7,10,top,6090,0.8408198952674866
7,11,top,3397,0.7872027158737183
7,12,top,2853,0.7171858549118042
7,13,top,6373,0.6329004764556885
7,14,top,2212,0.5913972854614258
7,15,top,2344,0.5546053051948547
7,1,bottom,6281,-0.25508320331573486
7,2,bottom,6283,-0.21968379616737366
7,3,bottom,6295,-0.2060393989086151
7,4,bottom,10416,-0.18918296694755554
7,5,bottom,15805,-0.1889258176088333
7,6,bottom,6282,-0.1874149590730667
7,7,bottom,6296,-0.15988630056381226
7,8,bottom,6289,-0.15913592278957367
7,9,bottom,2317,-0.15751735866069794
7,10,bottom,12396,-0.14812131226062775
7,11,bottom,12210,-0.13629691302776337
7,12,bottom,186,-0.13299311697483063
7,13,bottom,2329,-0.13230803608894348
7,14,bottom,12206,-0.12756583094596863
7,15,bottom,1219,-0.12550336122512817
6,1,top,7404,0.7082725167274475
6,2,top,2328,0.5445961952209473
6,3,top,12386,0.4819182753562927
6,4,top,690,0.42648395895957947
6,5,top,6769,0.40279603004455566
6,6,top,7678,0.3632824420928955
6,7,top,7737,0.25953495502471924
6,8,top,6090,0.244933620095253
6,9,top,12394,0.22464613616466522
6,10,top,6373,0.21745511889457703
6,11,top,14561,0.2027694284915924
6,12,top,7412,0.1953355222940445
6,13,top,15805,0.19097495079040527
6,14,top,2213,0.19094118475914001
6,15,top,12396,0.18739666044712067
6,1,bottom,12255,-0.18707892298698425
6,2,bottom,12177,-0.17942924797534943
6,3,bottom,4247,-0.1636316478252411
6,4,bottom,12198,-0.14991196990013123
6,5,bottom,12248,-0.1481752097606659
6,6,bottom,12253,-0.14247429370880127
6,7,bottom,12187,-0.1383504718542099
6,8,bottom,12217,-0.13689224421977997
6,9,bottom,12280,-0.12441176176071167
6,10,bottom,12191,-0.11273857206106186
6,11,bottom,14886,-0.11269395798444748
6,12,bottom,5308,-0.10642464458942413
6,13,bottom,12194,-0.10388444364070892
6,14,bottom,12197,-0.10294532030820847
6,15,bottom,12220,-0.10175051540136337
9,1,top,2344,0.8345422744750977
9,2,top,2352,0.6946974992752075
9,3,top,6769,0.4453372359275818
9,4,top,6094,0.32546597719192505
9,5,top,5308,0.3209460973739624
9,6,top,2351,0.29346203804016113
9,7,top,7644,0.2830951511859894
9,8,top,11396,0.2570246756076813
9,9,top,409,0.21872232854366302
9,10,top,12401,0.21611596643924713
9,11,top,6592,0.20838311314582825
9,12,top,1531,0.19530902802944183
9,13,top,2615,0.18659698963165283
9,14,top,7046,0.17679210007190704
9,15,top,12260,0.16885611414909363
9,1,bottom,12196,-0.25818681716918945
9,2,bottom,12184,-0.14808697998523712
9,3,bottom,12213,-0.13150858879089355
9,4,bottom,12204,-0.13027764856815338
9,5,bottom,12265,-0.12648798525333405
9,6,bottom,4141,-0.12408582866191864
9,7,bottom,12192,-0.12256580591201782
9,8,bottom,7340,-0.11960496008396149
9,9,bottom,12277,-0.10853588581085205
9,10,bottom,2851,-0.10819321870803833
9,11,bottom,12261,-0.10150628536939621
9,12,bottom,7737,-0.09594974666833878
9,13,bottom,12217,-0.09556001424789429
9,14,bottom,12214,-0.093350850045681
