class,rank,type,gene_index,score,gene_name
CD19+ B,1,top,2342,0.5562717318534851,CD79A
CD19+ B,2,top,14329,0.5527039766311646,TCL1A
CD19+ B,3,top,2343,0.4849208891391754,CD79B
CD19+ B,4,top,6294,0.4390730261802673,HLA-DRA
CD19+ B,5,top,6290,0.4280845820903778,HLA-DQA1
CD19+ B,6,top,8759,0.4043982923030853,MS4A1
CD19+ B,7,top,6291,0.3426262438297272,HLA-DQA2
CD19+ B,8,top,6296,0.3257742822170257,HLA-DRB5
CD19+ B,9,top,6289,0.3204863369464874,HLA-DPB1
CD19+ B,10,top,6288,0.3115635514259338,HLA-DPA1
CD19+ B,11,top,6295,0.2786379158496856,HLA-DRB1
CD19+ B,12,top,6292,0.2672019898891449,HLA-DQB1
CD19+ B,13,top,7975,0.258594661951065,LTB
CD19+ B,14,top,2341,0.2504745125770569,CD74
CD19+ B,15,top,6281,0.2426719069480896,HLA-A
CD19+ B,1,bottom,6769,-0.1525291800498962,IL32
CD19+ B,2,bottom,12181,-0.1470512002706527,RPL18A
CD19+ B,3,bottom,2344,-0.1415132284164428,CD7
CD19+ B,4,bottom,12205,-0.0774489268660545,RPL37
CD19+ B,5,bottom,12394,-0.0773056596517562,S100A4
CD19+ B,6,bottom,6162,-0.0764524340629577,HCST
CD19+ B,7,bottom,12194,-0.0761331394314765,RPL29
CD19+ B,8,bottom,12243,-0.0758775919675827,RPS15
CD19+ B,9,bottom,6615,-0.0731244161725044,IFITM2
CD19+ B,10,bottom,12265,-0.0672709047794342,RPS5
CD19+ B,11,bottom,4433,-0.0672053471207618,EMP3
CD19+ B,12,bottom,6576,-0.0650254264473915,ID2
CD19+ B,13,bottom,7962,-0.0639005154371261,LSP1
CD19+ B,14,bottom,7048,-0.0634184703230857,JUN
CD19+ B,15,bottom,6025,-0.0626180991530418,GSTP1
CD8+ Cytotoxic T,1,top,9358,1.202171802520752,NKG7
CD8+ Cytotoxic T,2,top,2213,0.9771038889884948,CCL5
CD8+ Cytotoxic T,3,top,5745,0.8621690273284912,GNLY
CD8+ Cytotoxic T,4,top,2352,0.6920267343521118,CD8B
CD8+ Cytotoxic T,5,top,6769,0.6360424160957336,IL32
