celltype,rank,gene,attribution,type
CD14+ Monocyte,1,S100A9,0.0003591496,top
CD14+ Monocyte,2,LYZ,0.0003516666,top
CD14+ Monocyte,3,FCN1,0.00035003087,top
CD14+ Monocyte,4,CST3,0.00033005216,top
CD14+ Monocyte,5,CD4,0.00032948665,top
CD14+ Monocyte,6,APOBEC3A,0.00029607653,top
CD14+ Monocyte,7,TMEM176B,0.00029294885,top
CD14+ Monocyte,8,CFD,0.00025319593,top
CD14+ Monocyte,9,TYMP,0.00024536654,top
CD14+ Monocyte,10,S100A8,0.0002401868,top
CD14+ Monocyte,11,RBP7,0.00022803489,top
CD14+ Monocyte,12,CD14,0.00022802327,top
CD14+ Monocyte,13,HLA-DRA,0.0002240617,top
CD14+ Monocyte,14,S100A12,0.00021805025,top
CD14+ Monocyte,15,SPI1,0.00021169797,top
CD14+ Monocyte,1,CD8B,-0.00011333136,bottom
CD14+ Monocyte,2,S100B,-0.00010956323,bottom
CD14+ Monocyte,3,IL32,-0.00010886369,bottom
CD14+ Monocyte,4,CD8A,-9.462387e-05,bottom
CD14+ Monocyte,5,CLIC3,-8.614494e-05,bottom
CD14+ Monocyte,6,CD7,-7.981943e-05,bottom
CD14+ Monocyte,7,ID2,-7.653954e-05,bottom
CD14+ Monocyte,8,TPST2,-7.255685e-05,bottom
CD14+ Monocyte,9,NCR3,-6.759887e-05,bottom
CD14+ Monocyte,10,ABI3,-6.679097e-05,bottom
CD14+ Monocyte,11,SERPINF1,-6.1246246e-05,bottom
CD14+ Monocyte,12,SRRT,-6.058851e-05,bottom
CD14+ Monocyte,13,IL2RB,-5.8867154e-05,bottom
CD14+ Monocyte,14,PTCRA,-5.710842e-05,bottom
CD14+ Monocyte,15,ARHGDIB,-5.7004945e-05,bottom
CD19+ B,1,TCL1A,0.0005116467,top
CD19+ B,2,HLA-DQA1,0.0003757847,top
CD19+ B,3,CD79A,0.00037171735,top
CD19+ B,4,MS4A1,0.0003685892,top
CD19+ B,5,HLA-DQA2,0.0003616426,top
CD19+ B,6,CD79B,0.00034120126,top
CD19+ B,7,HLA-DRB5,0.00028809346,top
CD19+ B,8,SPIB,0.00027842197,top
CD19+ B,9,FCER2,0.00027542375,top
CD19+ B,10,EAF2,0.00024099303,top
CD19+ B,11,VPREB3,0.00023484204,top
CD19+ B,12,NCF1,0.0002275686,top
CD19+ B,13,HLA-DQB1,0.00022694259,top
CD19+ B,14,BANK1,0.00022543504,top
CD19+ B,15,HLA-DRA,0.00021623762,top
CD19+ B,1,CD7,-0.00040864915,bottom
CD19+ B,2,IL32,-0.0003894459,bottom
CD19+ B,3,ANXA1,-0.00035480448,bottom
CD19+ B,4,GZMM,-0.0003302035,bottom
CD19+ B,5,GNLY,-0.0002895448,bottom
CD19+ B,6,TYROBP,-0.00027646852,bottom
CD19+ B,7,FCGR3A,-0.000259122,bottom
CD19+ B,8,ID2,-0.00024737563,bottom
CD19+ B,9,GZMB,-0.00024247901,bottom
CD19+ B,10,AIF1,-0.00020310485,bottom
CD19+ B,11,NKG7,-0.00020009089,bottom
CD19+ B,12,S1PR5,-0.00018471127,bottom
CD19+ B,13,CLIC3,-0.00018297549,bottom
CD19+ B,14,FGFBP2,-0.00018190977,bottom
CD19+ B,15,GZMH,-0.00018163273,bottom
CD34+,1,GNG11,0.0002728185,top
CD34+,2,CLU,0.00023959384,top
CD34+,3,SNCA,0.00018932446,top
CD34+,4,SPARC,0.00016698978,top
CD34+,5,PDLIM1,0.0001628856,top
CD34+,6,ACRBP,0.00015749206,top
CD34+,7,CD4,0.00014945518,top
CD34+,8,GP9,0.00014833793,top
CD34+,9,LIMS1,0.00014755761,top
CD34+,10,CMTM5,0.00014093898,top
CD34+,11,CST3,0.00014031523,top
CD34+,12,NRGN,0.00013884617,top
CD34+,13,PF4,0.00012705762,top
CD34+,14,TUBB1,0.00012635581,top
CD34+,15,F13A1,0.00012530081,top
CD34+,1,CD8B,-9.19034e-05,bottom
CD34+,2,CD8A,-6.906222e-05,bottom
CD34+,3,IL32,-6.0576247e-05,bottom
CD34+,4,S100B,-5.4919794e-05,bottom
CD34+,5,S100A8,-5.45198e-05,bottom
CD34+,6,CD7,-4.676416e-05,bottom
CD34+,7,LTB,-4.3874552e-05,bottom
CD34+,8,CFD,-4.0606876e-05,bottom
CD34+,9,RPS10,-3.3625216e-05,bottom
CD34+,10,BTG1,-3.32756e-05,bottom
CD34+,11,PTMA,-3.305511e-05,bottom
CD34+,12,SFXN5,-3.177771e-05,bottom
CD34+,13,PLEKHM2,-3.135371e-05,bottom
CD34+,14,TKTL1,-3.0807027e-05,bottom
CD34+,15,ID2,-3.0793428e-05,bottom
CD4+ T Helper2,1,GNLY,0.00015483906,top
CD4+ T Helper2,2,NKG7,0.00014064506,top
CD4+ T Helper2,3,KLRB1,0.0001284313,top
CD4+ T Helper2,4,GZMA,0.000101894206,top
CD4+ T Helper2,5,CCL5,9.047552e-05,top
CD4+ T Helper2,6,GZMK,8.718582e-05,top
CD4+ T Helper2,7,HOPX,7.097486e-05,top
CD4+ T Helper2,8,LYZ,6.651617e-05,top
CD4+ T Helper2,9,FCGR3A,6.385408e-05,top
CD4+ T Helper2,10,CD300A,6.2856234e-05,top
CD4+ T Helper2,11,GZMB,6.184218e-05,top
CD4+ T Helper2,12,CST7,6.10371e-05,top
CD4+ T Helper2,13,TYROBP,5.850023e-05,top
CD4+ T Helper2,14,HLA-DRB1,5.8432037e-05,top
CD4+ T Helper2,15,RNASE6,5.8275833e-05,top
CD4+ T Helper2,1,CD247,-4.97752e-05,bottom
CD4+ T Helper2,2,CD7,-4.537011e-05,bottom
CD4+ T Helper2,3,IER2,-4.4645578e-05,bottom
CD4+ T Helper2,4,IL32,-4.1283205e-05,bottom
CD4+ T Helper2,5,FCER1G,-3.8290887e-05,bottom
CD4+ T Helper2,6,TNFRSF1B,-3.8148715e-05,bottom
CD4+ T Helper2,7,APP,-3.6832764e-05,bottom
CD4+ T Helper2,8,TKTL1,-3.473052e-05,bottom
CD4+ T Helper2,9,PDE4DIP,-3.376475e-05,bottom
CD4+ T Helper2,10,FSTL3,-3.3467844e-05,bottom
CD4+ T Helper2,11,ID3,-3.2306212e-05,bottom
CD4+ T Helper2,12,LAIR2,-3.198027e-05,bottom
CD4+ T Helper2,13,CXorf56,-3.1099942e-05,bottom
CD4+ T Helper2,14,FERMT3,-3.106257e-05,bottom
CD4+ T Helper2,15,GRAP2,-3.0258612e-05,bottom
CD4+/CD25 T Reg,1,TIGIT,0.0005348357,top
CD4+/CD25 T Reg,2,CCR10,0.00041406168,top
CD4+/CD25 T Reg,3,LGALS3,0.00041140444,top
CD4+/CD25 T Reg,4,TNFRSF1B,0.00040042688,top
CD4+/CD25 T Reg,5,TNFRSF18,0.00038522546,top
CD4+/CD25 T Reg,6,LAIR2,0.00037757095,top
CD4+/CD25 T Reg,7,IL32,0.00037321917,top
CD4+/CD25 T Reg,8,LMNA,0.00034480932,top
CD4+/CD25 T Reg,9,CD4,0.00032704955,top
CD4+/CD25 T Reg,10,LYZ,0.00029486872,top
CD4+/CD25 T Reg,11,HLA-DRA,0.00028579877,top
CD4+/CD25 T Reg,12,HLA-DRB1,0.00027702976,top
CD4+/CD25 T Reg,13,ARG1,0.0002559033,top
CD4+/CD25 T Reg,14,HLA-DRB5,0.00025350528,top
CD4+/CD25 T Reg,15,HLA-DQB1,0.00025242745,top
CD4+/CD25 T Reg,1,FCGR3A,-0.00025742882,bottom
CD4+/CD25 T Reg,2,GZMB,-0.0002549132,bottom
CD4+/CD25 T Reg,3,AIF1,-0.00024265084,bottom
CD4+/CD25 T Reg,4,TYROBP,-0.0002308585,bottom
CD4+/CD25 T Reg,5,S100A8,-0.00022048192,bottom
CD4+/CD25 T Reg,6,GNLY,-0.0002177688,bottom
CD4+/CD25 T Reg,7,FGFBP2,-0.00021422852,bottom
CD4+/CD25 T Reg,8,NKG7,-0.00021017241,bottom
CD4+/CD25 T Reg,9,ANKRD11,-0.00020550766,bottom
CD4+/CD25 T Reg,10,MATK,-0.00020359582,bottom
CD4+/CD25 T Reg,11,CD8A,-0.00020164327,bottom
CD4+/CD25 T Reg,12,GZMH,-0.00020080083,bottom
CD4+/CD25 T Reg,13,TLN1,-0.00019875939,bottom
CD4+/CD25 T Reg,14,IFITM3,-0.00019749164,bottom
CD4+/CD25 T Reg,15,S1PR5,-0.00017627356,bottom
CD4+/CD45RA+/CD25- Naive T,1,CD4,0.0007657554,top
CD4+/CD45RA+/CD25- Naive T,2,IGLL5,0.0004187581,top
CD4+/CD45RA+/CD25- Naive T,3,AKR1C3,0.00030339172,top
CD4+/CD45RA+/CD25- Naive T,4,RNF175,0.0002999079,top
CD4+/CD45RA+/CD25- Naive T,5,CST3,0.0002609965,top
CD4+/CD45RA+/CD25- Naive T,6,CD7,0.00019730443,top
CD4+/CD45RA+/CD25- Naive T,7,AIF1,0.00018644033,top
CD4+/CD45RA+/CD25- Naive T,8,RAMP1,0.0001837406,top
CD4+/CD45RA+/CD25- Naive T,9,STMN1,0.00015396929,top
CD4+/CD45RA+/CD25- Naive T,10,GZMM,0.00014629468,top
CD4+/CD45RA+/CD25- Naive T,11,CFP,0.00014343145,top
CD4+/CD45RA+/CD25- Naive T,12,SPARC,0.00014140429,top
CD4+/CD45RA+/CD25- Naive T,13,ZNF467,0.00013996541,top
CD4+/CD45RA+/CD25- Naive T,14,APP,0.00013581711,top
CD4+/CD45RA+/CD25- Naive T,15,IGFBP7,0.00013150007,top
CD4+/CD45RA+/CD25- Naive T,1,TIGIT,-0.00011244156,bottom
CD4+/CD45RA+/CD25- Naive T,2,HLA-DQB1,-0.00011242213,bottom
CD4+/CD45RA+/CD25- Naive T,3,CCL5,-0.00010846191,bottom
CD4+/CD45RA+/CD25- Naive T,4,HLA-DPB1,-9.6549586e-05,bottom
CD4+/CD45RA+/CD25- Naive T,5,CD8A,-9.340505e-05,bottom
CD4+/CD45RA+/CD25- Naive T,6,HLA-DRB5,-9.190606e-05,bottom
CD4+/CD45RA+/CD25- Naive T,7,HLA-DRB1,-8.890482e-05,bottom
CD4+/CD45RA+/CD25- Naive T,8,IL2RB,-8.47177e-05,bottom
CD4+/CD45RA+/CD25- Naive T,9,AP3S2,-8.182396e-05,bottom
